,ward,wardLat,wardLong,venue,venueLat,venueLong,venueCat
15911,Norland,51.50937103571429,-0.2097483690476191,Gelateria 3Bis,51.51569577460702,-0.2047778076340624,Ice Cream Shop
15912,Norland,51.50937103571429,-0.2097483690476191,Grounds of Arabica,51.512018571290646,-0.21785539593722092,Coffee Shop
15913,Norland,51.50937103571429,-0.2097483690476191,Victoria's Secret,51.50777295545834,-0.2201444801462396,Lingerie Store
15914,Norland,51.50937103571429,-0.2097483690476191,Chakra,51.508580386634655,-0.20038471792374138,Indian Restaurant
15915,Norland,51.50937103571429,-0.2097483690476191,Portobello Ristorante,51.50978620653917,-0.19796755752439446,Italian Restaurant
15916,Norland,51.50937103571429,-0.2097483690476191,Trailer Happiness,51.515068591415044,-0.2045776718906719,Cocktail Bar
15917,Norland,51.50937103571429,-0.2097483690476191,Ole & Steen,51.509559,-0.221753,Bakery
15918,Norland,51.50937103571429,-0.2097483690476191,The Belvedere,51.501859307515836,-0.20414668738479846,Restaurant
15919,North Bermondsey,51.49867965507244,-0.06649525217391315,Brew by Numbers,51.497517,-0.072148,Brewery
15920,North Bermondsey,51.49867965507244,-0.06649525217391315,Little Bread Pedlar,51.49588302802193,-0.06908322479804872,Bakery
15921,North Bermondsey,51.49867965507244,-0.06649525217391315,The Kernel Brewery,51.495660181333754,-0.06858614714509877,Brewery
15922,North Bermondsey,51.49867965507244,-0.06649525217391315,Brew By Numbers Tap Room,51.49760456302477,-0.07254558113597533,Brewery
15923,North Bermondsey,51.49867965507244,-0.06649525217391315,73 Enid Street | Cloudwater London,51.49767642678057,-0.07264324071266737,Beer Bar
15924,North Bermondsey,51.49867965507244,-0.06649525217391315,John & Elena Fruit & Veg Company,51.49626079589485,-0.06971054042446184,Fruit & Vegetable Store
15925,North Bermondsey,51.49867965507244,-0.06649525217391315,Anspach & Hobday,51.498800626224025,-0.07342634591444085,Brewery
